departamento_residencia,provincia_residencia,anio_min,evento,grupo_etario,sepi_min,cantidad
COMUNA 6,CABA,2024,Dengue,De 25 a 34 años,13,21
COMUNA 7,CABA,2024,Dengue,De 35 a 44 años,17,8
COMUNA 7,CABA,2024,Dengue,De 35 a 44 años,20,3
COMUNA 7,CABA,2024,Dengue,Mayores de 65 años,5,1
COMUNA 7,CABA,2024,Dengue,Mayores de 65 años,6,1
COMUNA 7,CABA,2024,Dengue,De 5 a 9 años,16,2
COMUNA 7,CABA,2024,Dengue,De 10 a 14 años,15,7
COMUNA 7,CABA,2024,Dengue,De 10 a 14 años,18,3
COMUNA 7,CABA,2024,Dengue,De 15 a 19 años,13,13
COMUNA 7,CABA,2024,Dengue,De 15 a 19 años,7,3
COMUNA 7,CABA,2024,Dengue,De 20 a 24 años,10,4
COMUNA 7,CABA,2024,Dengue,De 20 a 24 años,11,7
COMUNA 8,CABA,2024,Dengue,De 35 a 44 años,10,12
COMUNA 8,CABA,2024,Dengue,De 35 a 44 años,9,8
COMUNA 8,CABA,2024,Dengue,De 45 a 65 años,11,8
COMUNA 8,CABA,2024,Dengue,De 45 a 65 años,12,16
COMUNA 8,CABA,2024,Dengue,De 45 a 65 años,8,20
COMUNA 8,CABA,2024,Dengue,Mayores de 65 años,10,3
COMUNA 8,CABA,2024,Dengue,Mayores de 65 años,11,3
COMUNA 8,CABA,2024,Dengue,De 2 a 4 años,7,1
COMUNA 8,CABA,2024,Dengue,De 10 a 14 años,13,4
COMUNA 1,CABA,2024,Dengue,De 35 a 44 años,16,88
COMUNA 1,CABA,2024,Dengue,De 35 a 44 años,4,11
COMUNA 1,CABA,2024,Dengue,Mayores de 65 años,6,20
COMUNA 1,CABA,2024,Dengue,Mayores de 65 años,7,42
COMUNA 1,CABA,2024,Dengue,Posneonato (29 hasta 365 días),17,1
COMUNA 1,CABA,2024,Dengue,De 2 a 4 años,18,3
COMUNA 1,CABA,2024,Dengue,De 5 a 9 años,17,16
COMUNA 1,CABA,2024,Dengue,De 5 a 9 años,3,2
COMUNA 1,CABA,2024,Dengue,De 5 a 9 años,5,3
